msno,is_churn
vYPGGNlLHEUB5eNXuwY/5xUsGcg8kT/TkgsxOkWTcRk=,0
OVaEVm0K8HHDkpJuYCxz8OX+7/AgZwCqkIp3Ja4GkzE=,0
+nhzYYPq8XEEdxHz7SEoeQKcZIAenToImThUqJpP93U=,0
muWpFP2fk/GgzbmQ/P1yId/9qBj8yqrQpgSFLB/hiJ4=,0
UldLqH5NGatYV4SPAw9kO76syWyXnZcNx014YKq1QHw=,0
izoasvSP934Zca1o1PdRukF5DsbNwFaxAsdQGebCSBE=,0
iQ1ifzK+77mi+fCCuvQHsijXrKdeJQtcCNgbeSMQz1U=,0
gAfpKY7k6ocr0Vzaxo3sBGL3KxgKbPZFz31JX6DF5/A=,0
zuVttBKsyob2940FEP/JNmSyLBkcBtGDl/HqpMqTPSU=,0
A3UNwedUJ2m6Mr/vAY4YtDI3njz2m2cOf8fJfMaHN5s=,0
jq0lNmzHlXQJUrfAWo8M50WW5JWxUPX3L6obQQuVYvY=,0
qogzIpu+3SlkZkbbFQtzm62qMcWqZ4jqb1JLcj8vev4=,0
+cYDLAgxEcz668Tj/0wC9id4hNCm+joEpXhtAdkBwDk=,0
gtGa7rUpGcMgGsdTlXb6pPUIP9TUq0Z+1f/pcWos4XI=,0
gIsQJX3PkbxmH/CN1njNNGTzogeErc7Gd8Ep/TZKxfw=,0
SltRlgLv0cbYeS/ahuK/rzawVo6OlcX4vIGmNUdgIyw=,0
5sdwRMXmNowFPeG3US/z4SvvTQJ+FwpokCFWM1gihpI=,0
Jle7d8LsRY20JzSkTWBWoaVVb6y6aJso/H9CtjA/tpM=,0
gqbSYTd/+XUkGHgk9NNLL5ZFJdtIJPr3r3RV+1p0vhE=,0
8j00Fvv95EpTXRabk+CM/mvadMw/AVbuRlt4D8CtuA4=,0
GcudSe3z87L2iXuqnfJMSThqXE8x3d+WqMYJpIHjQJE=,0
lxChExR/eqJtbKdwPnSojIA6M5sO8TffnncyPEMpTRA=,0
WxHsq4ugTWOlvlytmTQORSbKekVbcrYsCrMpXvS8eGY=,0
LiCNDv570tIWU/acwv/WuFc129dZicmTAqlOrCDpZZE=,0
tTwObCiijDnKp2mKLP3RhYSjAZKx1vED+Ir9JvwkPfk=,0
LEUHdCH9TB5D4yoUzDC+8y7SZoINcp2RZ+xTbxIsYNg=,0
nmFypun2WFFFU+2ccFJRKIodIzRXmHUWD+FIN2uCu3U=,0
1sVg11MTMGZ6+lcMH/+ZeUepv+wNNSiEUaUR38a8g/s=,0
rEUgUV+jjlnExyeBSyafJFJ9qaoTkwvRLtnhJuU9NpI=,0
bi0Gt/nvkG9HGsMmS4nPLj8X+AQOlDtdktrxtdF0U1w=,0
rmwXoBYnFtHi9a+Up9NKybQeAbYxmn1INMkY/eFmNx8=,0
8J3q9WSAFQhu0P654qfGcczYtcCp6Z3Z5PbsjQD1Xao=,0
+MnkV6UkOUr/PSVOD6bnCGMHmFou+DOrdK4qiHPKU4M=,0
DENnV7iHfizPKIC9hlBNp2stg8yPYkFMZSN4m9YqxGg=,0
R2x+dnqttdJvrIs79vN0gYqtHPPqd8iZvSpi1avCDv4=,0
yaT7OITRDoAVz2OPaeHyYpeEZzHzByR11twmOTTGYOw=,0
0lv/DiT8gunUKk/OodEeMNwkRpjfurRnOcAuTOr6DmM=,0
br0wwroFNYAHebsyo16HlamuEAltds+xgpM91l86oic=,0
XfMx53hUoIAX3tJxQAQYWyuyngJm59m63Uoq/qeCg2A=,1
pZQQtKXwdD6JXC/9roV2yrUSFXiCC2aaolKmhgJNc8o=,0
7Zur3VhfsENvex+ESlf8A6DR3Q9V0Fx7zI220lMczSg=,0
fbqN53oE95apKmQCBTeQHU0NJLl5LMBnh0KI4O2ERfQ=,0
GSNFGlb3t/z+92PxEIepFTs0L7W7SUwdnYYsz9ua+gQ=,0
ziWNRr4BZ1OQL/CBRtytFobVbZnLMhRMSKH5Ddgk6+w=,0
xMVhZcYpD2pFvKVdVF9IeR/pVB7+rtcvap1cPJzYpvs=,0
